"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","10220","View first product details","","Thu Mar 05 18:13:50 UTC 2026","skipped","Thu Mar 05 18:14:01 UTC 2026","","Add Product to Cart","View first product details",""
"","10324","Add product to cart from product details page","","Thu Mar 05 18:13:50 UTC 2026","skipped","Thu Mar 05 18:14:01 UTC 2026","","Add Product to Cart","Add product to cart from product details page",""
"","10440","Verify products are displayed on catalogue page","","Thu Mar 05 18:13:50 UTC 2026","skipped","Thu Mar 05 18:14:01 UTC 2026","","Add Product to Cart","Verify products are displayed on catalogue page",""
"","10373","Add first product to cart from catalogue page","","Thu Mar 05 18:13:50 UTC 2026","skipped","Thu Mar 05 18:14:01 UTC 2026","","Add Product to Cart","Add first product to cart from catalogue page",""
